Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D6.3mm_P2.50mm,1,100uF-35V,
"C10, C11, C7",1206,3,47nF,
C2,1206,1,1u,
C3,CP_Radial_D6.3mm_P2.50mm,1,180uF-10V,
"C4, C5",1206,2,10u,
"C6, C8, C9",1206,3,100nF 50V,C24497
"D1, D11, D14, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D6",LED_D3.0mm,14,LED,
"D10, D12, D13, D15, D16, D17, D18, D19, D20, D4, D5, D7, D8, D9",D_SOD-123,14,D_Schottky,C181204
D2,SMA_L4.3-W2.6-LS5.2-RD,1,SS34_C8678,C8678
"DRA1, DRA2",DinRailPCBClip_P15,2,DIN_Rail_Adapter,
J1,IDC-Header_2x15_P2.54mm_Vertical,1,Conn_02x15_Odd_Even,
"J10, J7",WirePad_2.5x5,2,A_HallCnd,
J11,WirePad_2.5x5,1,B_HallCnd,
"J12, J9",WirePad_2.5x5,2,C_HallCnd,
"J13, J16",WirePad_2.5x5,2,A_ZCD,
"J14, J17",WirePad_2.5x5,2,B_ZCD,
"J15, J18",WirePad_2.5x5,2,C_ZCD,
"J19, J20, J33, J34, J35, J36, J37, J38",WirePad_2.5x5,8,Conn_01x01_Pin,
J2,"TerminalBlock_Phoenix_PT-1,5-5-3.5-H_1x05_P3.50mm_Horizontal",1,Screw_Terminal_01x05,
"J21, J24",WirePad_2.5x5,2,A_PhaseCnd,
"J22, J25",WirePad_2.5x5,2,B_PhaseCnd,
"J23, J26",WirePad_2.5x5,2,C_PhaseCnd,
"J27, J28, J29, J30, J31, J32",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02_Pin,
J3,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05,
J4,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,Conn_01x08,
J5,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J6,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J8,WirePad_2.5x5,1,B_HallBCnd,
L1,IND-SMD_L7.1-W6.6_H5.0,1,SMMS0650-680M,C2894721
"R1, R12, R16, R23, R24, R25, R26, R27, R28, R29, R36, R37, R6",1206,13,1K,C113307
"R10, R20, R22, R3",1206,4,2.2K,
"R11, R15, R5",1206,3,4.7K,C17902
"R13, R17, R7",1206,3,470,C113307
"R14, R18, R8",1206,3,100,C113307
"R19, R2, R21, R9",1206,4,47K,
"R30, R31, R32",1206,3,4.7k,
"R33, R34, R35",1206,3,100k,
"R38, R39, R40",1206,3,2.2K,C113307
R4,1206,1,1k,
U1,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,XL1509-5.0E1,C61063
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOIC-14_3.9x8.7mm_P1.27mm,1,LM339,
